"","ms","pure_f","just_set","modded","divd","modded_p"
"1","Alatalo interaction evenness",196.521299188457,4665.83331068403,196.521299188457,23.7421253062737,9.7304704705559e-22
"2","C_score_higher",347.931255836653,2201.68530432819,347.931255836653,6.32793193308807,1.90642028970166e-28
"3","cluster coefficient",9.92873442435303,3119.63356589662,9.92873442435303,314.202539071328,0.00186236203000407
"4","cluster_coefficient_higher",193.084376782409,4007.52108517988,193.084376782409,20.7552840471191,3.9307715729016e-28
"5","cluster_coefficient_lower",677.523807191843,653.994944312922,677.523807191843,0.965272271425499,1.66798680774643e-55
"6","connectance",144.762525240218,894.373105010312,144.762525240218,6.17820878384233,1.66612815865179e-18
"7","discrepancy_higher",16.9617844303933,1.65536502974791,16.9617844303933,0.0975938019104707,0.000105574128444295
"8","discrepancy_lower",4.20216465593985,5.20123449241299,4.20216465593985,1.23775123496432,0.0442311105238677
"9","extinction_slope_higher",0.143765449297814,8.70137170605715,0.143765449297814,60.5247766313588,0.705747400357612
"10","extinction_slope_lower",7.42397948479879,1.72463980288795,7.42397948479879,0.232306649879527,0.00817457599005374
"11","Fisher alpha",1.43931553797715,37.1290117722251,1.43931553797715,25.7962974709543,0.234413544996053
"12","functional_complementarity_higher",3.83277372929832,479.614981285116,3.83277372929832,125.135219337073,0.0543647884076417
"13","functional_complementarity_lower",3.52265304175562,159.101418326838,3.52265304175562,45.1652253119838,0.0648264099779761
"14","generality_higher",6.14675811614264,7.37061359738729,6.14675811614264,1.19910584703676,0.0156495371759745
"15","H2",13.0735132706074,977.002400171644,13.0735132706074,74.7314344620889,0.000570027145551811
"16","interaction evenness",8.83353040843136,458.592515628183,8.83353040843136,51.9149756014276,0.00408676907354112
"17","interaction strength asymmetry",44.8420255157395,1402.31214463903,44.8420255157395,31.2722748027255,4.97526169719105e-09
"18","linkage density",5.70035254344157,7.730594776987,5.70035254344157,1.35616081954111,0.0197465775095637
"19","links per species",147.625720521461,605.306757931828,147.625720521461,4.10027978724637,1.05445593128349e-18
"20","mean_number_of_shared_partners_higher",28.2058005841808,609.105151108106,28.2058005841808,21.595031464901,1.29749159267352e-06
"21","mean_number_of_shared_partners_lower",0.224623528795615,414.587773979162,0.224623528795615,1845.70056486111,0.637057640951157
"22","nestedness",117.441048808522,21447.059769009,117.441048808522,182.619790836309,1.84527937052319e-16
"23","niche_overlap_higher",35.0005969244006,7855.0182892547,35.0005969244006,224.425266409631,1.19093804447456e-07
"24","niche_overlap_lower",115.658149354385,1180.07731845785,115.658149354385,10.2031488921893,2.56971927903012e-16
"25","number of compartments",0.152509730768053,6.86745306313398e+31,0.152509730768053,4.50296058392398e+32,0.697369173396803
"26","number_of_species_higher",4.4052259313032,7.1227106815743e+30,4.4052259313032,1.6168774979192e+30,0.0395448330548765
"27","number_of_species_lower",0.52795347680174,8.66641829603369,0.52795347680174,16.415117385974,0.469962437698092
"28","partner_diversity_higher",0.0372787560806101,5.93435187469968,0.0372787560806101,159.188570076412,0.847474137310653
"29","partner_diversity_lower",20.9316653470791,1775.94635476909,20.9316653470791,84.8449621815168,2.0764759789649e-05
"30","robustness_higher",3.07879483881565,5781.99182293808,3.07879483881565,1878.00490959713,0.0838911761034779
"31","robustness_lower",0.952754292887058,13.6273718592607,0.952754292887058,14.3031335161626,0.332478947624792
"32","specialisation asymmetry",24.9129580424784,1491.50170023315,24.9129580424784,59.8685109046477,4.41624242615156e-06
"33","Shannon diversity",1.537612014385,25.5175247865541,1.537612014385,16.5955550215705,0.219235594396005
"34","togetherness_higher",31.2152124011986,3595.85219791289,31.2152124011986,115.195506335072,4.40773287347516e-07
"35","togetherness_lower",119.275727236388,2281.46551489727,119.275727236388,19.1276596484355,1.31678857954209e-16
"36","V_ratio_higher",24.3111989583883,73.2573655632929,24.3111989583883,3.01331767670867,5.5531593975719e-06
"37","V_ratio_lower",2.7583864246518,7663.16441279067,2.7583864246518,2778.13302164798,0.101350255548033
"38","vulnerability_lower",177.354505549505,2216.95715566671,177.354505549505,12.5001456760166,1.27210393464109e-20
"39","web asymmetry",43.1006746640164,205.928603621838,43.1006746640164,4.77785104820556,8.53761696444309e-09
"40","weighted connectance",96.1145156557198,0.0996827947839347,96.1145156557198,0.00103712528855679,1.21979337550165e-14
"41","weighted nestedness",188.619727149056,287.962149889326,188.619727149056,1.52668097998978,2.74266433207102e-21
