"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"","Guanacaste normal, 2009 n_MOTU","Guanacaste normal, 2009 n_bats","Guanacaste dry, 2015 n_MOTU","Guanacaste dry, 2015 n_bats","Guanacaste wet, 2015 n_MOTU","Guanacaste wet, 2015 n_bats","La Selva wet, 2015 n_MOTU","La Selva wet, 2015 n_bats","Jamaica n_MOTU","Jamaica n_bats","Malaysia n_MOTU","Malaysia n_bats","Texas n_MOTU","Texas n_bats"
"910","534","11","534","11","534","11","534","11","534","11","534","11","534","11"
"912","607","11","607","11","607","11","607","11","607","11","607","11","607","11"
"914","614","11","614","11","614","11","614","11","614","11","614","11","614","11"
"916","618","11","618","11","618","11","618","11","618","11","618","11","618","11"
"918","700","11","700","11","700","11","700","11","700","11","700","11","700","11"
"920","712","11","712","11","712","11","712","11","712","11","712","11","712","11"
"922","711","11","711","11","711","11","711","11","711","11","711","11","711","11"
"924","808","11","808","11","808","11","808","11","808","11","808","11","808","11"
"926","822","11","822","11","822","11","822","11","822","11","822","11","822","11"
"928","820","11","820","11","820","11","820","11","820","11","820","11","820","11"
"930","948","11","948","11","948","11","948","11","948","11","948","11","948","11"
"932","981","11","981","11","981","11","981","11","981","11","981","11","981","11"
"934","977","11","977","11","977","11","977","11","977","11","977","11","977","11"
"936","999","11","999","11","999","11","999","11","999","11","999","11","999","11"
"938","1142","11","1142","11","1142","11","1142","11","1142","11","1142","11","1142","11"
"940","1157","11","1157","11","1157","11","1157","11","1157","11","1157","11","1157","11"
"942","1174","11","1174","11","1174","11","1174","11","1174","11","1174","11","1174","11"
"944","1399","11","1399","11","1399","11","1399","11","1399","11","1399","11","1399","11"
"946","1392","11","1392","11","1392","11","1392","11","1392","11","1392","11","1392","11"
"948","1396","11","1396","11","1396","11","1396","11","1396","11","1396","11","1396","11"
"950","1731","11","1731","11","1731","11","1731","11","1731","11","1731","11","1731","11"
"952","1768","11","1768","11","1768","11","1768","11","1768","11","1768","11","1768","11"
"954","1777","11","1777","11","1777","11","1777","11","1777","11","1777","11","1777","11"
"956","2213","11","2213","11","2213","11","2213","11","2213","11","2213","11","2213","11"
"958","2213","11","2213","11","2213","11","2213","11","2213","11","2213","11","2213","11"
"960","2223","11","2223","11","2223","11","2223","11","2223","11","2223","11","2223","11"
"962","2677","11","2677","11","2677","11","2677","11","2677","11","2677","11","2677","11"
"964","2818","11","2818","11","2818","11","2818","11","2818","11","2818","11","2818","11"
"966","2828","11","2828","11","2828","11","2828","11","2828","11","2828","11","2828","11"
"968","2999","11","2999","11","2999","11","2999","11","2999","11","2999","11","2999","11"
"970","3702","11","3702","11","3702","11","3702","11","3702","11","3702","11","3702","11"
"972","3643","11","3643","11","3643","11","3643","11","3643","11","3643","11","3643","11"
"974","3649","11","3649","11","3649","11","3649","11","3649","11","3649","11","3649","11"
"976","4960","11","4960","11","4960","11","4960","11","4960","11","4960","11","4960","11"
"978","5242","11","5242","11","5242","11","5242","11","5242","11","5242","11","5242","11"
"980","5246","11","5246","11","5246","11","5246","11","5246","11","5246","11","5246","11"
